label,sentence
0,我儿8个半月，感冒后发烧流鼻涕，在医院打了两天吊瓶针不烧了，第三天打针后又有点咳嗽早上厉害。
0,经常性感冒，流鼻涕。
0,小儿发烧感冒，眼角出现紫斑，腋下也有，全身都有，时间久了，变成死疤退去。孩子年龄1岁半
0,我家孩子81天了今天早晨发现他有点打喷嚏，咳嗽。流鼻涕精神挺好吃奶也好大便也正常体温正常请问是不是感冒是的话吃什么
0,王医生你好：我儿子今年12岁，一直以来经常性感冒，有时会伴有发烧的情形，请问如何治疗？
0,你好医生，我的孩子2岁了，感冒流鼻涕眼疼头痛，不发烧，医院的传染病太多我不想带他去医院，你看他这种情况可以在家治愈吗，我该怎么办，吃什么药好呢，注意些什么呢，谢谢
0,我们小孩这两天又是鼻塞又是咳嗽，眼屎不停地往出流。
0,5个多月的宝宝，没有发烧，一直有些鼻塞，由于这两天天气突然转冷，眼眶里不断有泪水。请问，这样怎么办?
0,流清水鼻涕，打喷嚏
0,小儿两岁发烧到39度同时伴眼睛分泌大量黄色分泌物流黄粘稠鼻涤还有咽红，吃了一天咽扁颗粒和克感敏
0,小儿25个月，感冒很严重，流清水鼻涕，打喷嚏，有鼻炎，晚上和白天都鼻塞，时常用嘴呼吸，吃了头孢丙烯干混悬剂，和复方甲麻口服溶液二天，不见好转，小儿以前有哮喘，我想给他加点盐酸羟甲唑啉喷雾剂可以吗
0,你好，我孩子四岁多了，爱感冒，我可以给他吃安利的儿童多种营养片吗，还是喝点牛初乳
0,我儿子长期流鼻涕我该怎么办
0,我家小孩这两天流鼻涕，打喷嚏，有时还咳嗽，我想问能不能吃“小儿氨酚黄娜敏颗粒”如果能，那该吃多少？我家小孩现在4个月大
0,小儿经常咳嗽(发烧)从1-3几乎每个月都有，请问这是怎么一回事.
0,我儿子出生两个月了，现在已感冒有十天左右，有时鼻塞，咳嗽，没发热，请问有什么好办法，谢谢你答复
0,小儿三岁了，前天感冒了，症壮就是有点咳嗽，鼻塞。
0,我女儿她前3天感冒有鼻涕，痰吃了医生开的药好些，但是怎么睡觉鼻子还会有呼呼响好像有痰在里面，平时一点事没有哦。昨晚我煲了雪梨冰塘给她喝有效，喝那些清肺化痰液没效果。我该怎么做？？？
0,宝宝两个月大。鼻塞，咳嗽。
0,我宝宝今天洗澡有点感冒 喷涕鼻塞 请问吃什么药效果好一点
1,我一直有贫血的毛病，昨天在办公室蹲着起来的时候，眼睛发黑还差点摔倒，想补血，请问贫血吃什么补血效果最好？
1,孩子总是腿没劲，是什么原因，10岁
1,血压低贫血头晕怎么办
1,眼睛会出现眼睛发黄，睑结膜发白，面色发白，双眼无神等临床症状。
1,贫血晕倒怎么办
1,眼睛看东西模糊，贫血会导致头昏、乏力，是脑供血不足导致的，脑供血不足也可以伴发眼睛的血供不足，从而导致视力模糊。
1,我的孩子3岁了，最近老是出现乏力，头晕，容易感冒，而且皮肤很苍白，不想吃东西，去医院检查后，医生说这是贫血，我想问一下贫血标准的指标是多少呢？
1,头晕了两三天是不是贫血
1,我已经怀孕三个多月了，最近这段时间出现了浑身乏力头晕头痛的症状，到医院做了一些孕检，医生说患了贫血，我想了解一下贫血和地中海贫血的区别？
1,近些时候老是感觉自己头晕的厉害，大家也都说我的脸色是非常的不好，自己感觉估计是稍微有一些儿贫血，去做一个检查。请问一下贫血值低于多少贫血？
1,23岁男，我是在厂子体检的，那医生也没有说上来属于什么类型贫血，就卡住我红细胞多这一值，没有让我入职！我就纳闷了贫血主要以我血红蛋白量，既然正常问什么的呢？还有我去药店给我开的强骨生血口服液和复方硫酸亚铁颗粒对么？谢谢了
1,好友怀孕有了孩子了，做产检时被检出有些缺铁性贫血，吃了大夫开的药好了，以前就听别人说贫血会遗传，现在好友有宝宝了真怕遗传给好友宝宝，请问贫血遗传么？
1,二零一一年三月八号生的孩子，二零一二年四月二十六人工流产一次，二零一三年四月十八药流一次，上个月十号自然流产一次，现在头晕晕起来眼前发黑同时耳鸣，一着急生气走的快一点心就跳的列害。
1,我的身体向来都是很虚弱的，而且面色总是特别容易就苍白，我觉得我自己可能是有严重的贫血，所以我想做一下检查。怎么查贫血不贫血？
1,我才28岁，我一天好多时候都吃一顿饭，我经常月经不调，一般都是晚来好多天，但上个月不来了，我去看医生说我贫血，我嘴唇老是白的成天手脚无力，上楼也上气不接下气的。请问专家我是贫血吗?我该吃什么药呢?我期待您的回音!谢谢阿英
1,贫血会导致眼窝下陷，眼睛旁周围映血，发紫吗，这些症状医生检查说是贫血导致的，可是症状太明显了。
1,今天查了血检，结果是10.4，贫血是不是很严重？吃阿胶要多久才不贫血，谢谢
1,疲乏、困倦，人没力气，老热泪盈眶，想吃吃不下。不来月经
1,我本有心脏病，平时就会有头晕，昏厥，四肢无力，有时甚至会突然双眼就象失明办看不见东西然后晕倒，只要在地上做段时间就好，天热尤其较多，人站的好好的，就会发觉自己身体不舒服，然后就要蹲在地上，就会有眼前发黑，浑身无力的症状，勉强站起来还会头晕，有时还会出虚汗，总觉得胸口闷闷的，在症状出现的时候总觉得浑身难过，有时还会想吐，另外我发现自己还有点轻微的自闭症。本人很瘦而且还有便秘，我想问下，大概是什么病，又或者说有哪些病。
1,自上初中由于环境和生活方式的改变，我的体质一下子下降了许多，逐渐感觉头晕，还经常感冒，发烧，又点口苦，耳鸣，眼花，经常失眠。经医生诊断又说是贫血，又有说是肝肾阴虚，还有说是学习劳累过度。本人身体单薄。药吃了不少但病情还是一样。这样过了三年上了高中。那时睡觉改善了一点，但过了一个学期又失眠了，身体素质还是很差.
2,腰椎横突骨折什么时候可以走动
2,小孩在外玩摔到腿。拍了片说是骨折，然后打了石膏，帮忙看下，需要其它处理吗？有没有注意些什么，或以后会不会有什么影响。谢谢
2,你好，孩子骨折了，是压骨折还是卧骨折了，可以鉴定出来吗，谢谢
2,医生您好 脚棵骨折45天愈合 骨折对位线良好 医生说15天后可以走路 为什么110天了走路还瘸
2,宝宝练习走路不慎摔倒。并用石膏固定，复位后拍片情况看 医生说复位很好。周前把石膏拆除。但我发现摸宝宝小手臂时 感觉骨头还是弯弯的 并有一块凸出来的地方。青枝骨折有骨折线吗？
2,今天我哥哥在操场上打篮球的时候，因为运动的幅度太大了，然后就出现了问题，去医院检查的时候医生说是不全性骨折，所以我就想问一下不全性骨折算是骨折吗？
2,我一个朋友的儿子最近不知道是怎么回事得了smith骨折了，当时是因为工作不小心就被弄骨折了，现在需要到医院去做固定骨头的手术，请问这个骨折以后要怎么处理？ smith骨折和colles骨折?
2,我昨天和朋友踢足球的时候，不小心将自己的手给弄伤了，就好像骨折一样，非常的疼痛，想了解一下，如果是得了疑似骨折算不算骨折?
2,我爸爸昨天摔了一跤不知道有没有骨折，今天我带她去医院检查片子上说没有骨折线，请问没有骨折线是有骨折的情况吗？
2,我刚刚拿到驾照，所以很想要开着车去兜风一下，可能就是因为技术不到家导致意外发生出现明显双跟骨折，那么双跟骨折到底应该怎么样治疗呢？
2,上个月出车祸骨折了，做完手术后也打了石膏，早几天去医院取了石膏，发现受伤的部位出现了骨折纹，请问一下，骨折纹是骨折吗？
2,我家孩子天生就爱动，经常磕磕碰碰的，前几天孩子骑车不小心摔打了，胳膊摔骨折了，现在已经处理好了，我还是很担心，想问问骨折处容易再骨折吗？
2,昨天晚上我下班的时候爬楼梯不小心摔了一跤，我的腿部关节特别疼痛，到医院做了一个全面的检查，医生说是由于骨折导致的。骨折和骨折线的区别是什么？
2,发病时间：两日主要表现：脚裸痛医生诊断及化验结果：X光显示可疑骨折，余无异常
2,你所说的患肢的功能锻炼是指膝盖的弯曲和脚关节的活动吗？我现在膝盖能弯到90度，脚如果往上翘的话，脚趾头成弯曲状，可能是筋断了，像这样该怎样锻炼，我的脚向上翘好像已经到近了，翘不动了
2,我29天前被公共汽车压到，拍片显示为脚面和脚趾两处骨折，请问是否属于重症？
2,摩托车上摔下来，手粉碎性骨折，需要开刀吗，能治好吗
2,患者受外伤，右小腿腓骨裂、胫骨粉碎性骨折，采取石膏治疗，没复好位，请问可以吗
2,80岁爷爷，下雨天，路滑，大腿摔骨折。动弹不得，只能坐着，不能躺着休息，医生建议说不动手术。想买些营养品，但是不知道什么好？请教一下医师！
2,请问下车祸大腿骨断了 为什么不能马上做手术 而要消炎几天
3,症状描述：宝宝快十一个月了，每天半夜肚子咕噜响，肠胃不舒服，影响睡眠，白天没有任何症状，药吃了也没有改善患病时长：大半个月了医院检查：说是消化不良，脾胃虚弱用药情况：益生菌和山葡健脾颗粒
3,吸收差，营养状况不好，面色不好，腹胀、腹泻、呕吐，消化不良的症状有哪些，宝宝三岁了，看着很心疼啊。
3,我从来不泛酸，属低酸性胃病，需要增加胃酸，而奥美拉唑是抑制胃酸，会不会反作用，也曾有医生开过这药，我没敢吃，我不知道我的判断是否正确。
3,宝宝一周岁，今天到医院检查消化不良，开了适贝高儿宝颗粒，这个药量多宝宝不好吃，不知道吃山麦健脾口服液可以不，哪位医生可以详细的说下这两种药有什么不同的吗，万心感谢
3,您好，我想问一下，吃完饭感觉消化不下去，一哼哧就吐出来了，大便特少，是怎么回事呀，谢谢
3,儿二岁食欲差，瘦弱，舌苔黑，消化不良，吃桃，黄瓜过半天拉出还是未嚼碎颗粒，颜色绿色。
3,她现在主要是吃母乳，现在连蛋黄都不给她吃了，再就是喝水喝果汁和蔬菜汁，怎么会消化不良呢？应该怎么调理？请速回复谢谢
3,医生您好，本人女 29岁 已婚 胃酸多 腹胀气 乳房胀 月经不调 入睡困难 精神不振 性欲弱 吃过中药但一吃就好不吃就犯 总是反复 该如何调理 谢谢！
3,一直消化不好，每次吃饭前都感觉不到饿，，导致胖的吧？？？？怎么治好，，，也是学生，，整天坐着消化不好
3,我家宝宝7个月大，女孩。一直吃雅士利奶粉。最近一直情绪不安，半夜睡不好，食欲下降，总哭，而且有点发烧，经医生诊断是消化不良，肚子胀，打了针吃了药，也不见效果。
3,最近老是有饿的感觉 可吃饱饭后又会有胸口痛的感觉并且几天才上一次大号 小肚子都撑好大了 请问是怎么回事 怎么办好呢
3,我的宝宝十四个月了，他不爱吃饭每天吃的很少。吃多点会拉肚，这是为什么呢？
3,我小儿现有3个月，出生时4.2kg，现体重6.5kg，母乳喂养，但每天只吃母乳总食量200多毫升，出现消除化不良一个半月了，每天都在喂妈咪爱.合生元。食量不见增长，他也不知道饿，我们这里医生也没有办法，请问应该怎么办?
3,我宝宝两个月了吃奶前恶心、干呕、放屁很臭、在她很饥饿的时候还好点怎么回事儿？能确定是消化不良么？
3,但我儿子的情况是这样的，生后3个月就开始喝了奶粉。便正常2、3天，天便5、6次8、10天，这样反反复复。胃口倒是好，给什么吃什么。吃蔬菜和水果后，便里总是不消化的蔬菜或水果。一般早上便样子好点，之后就是烂饭样或一点没有消化的蔬菜或水果变。我应该怎么办?
3,宝宝15个月.消化不良应避免吃什么，比如水果，蔬菜，酸奶等，枸杞能吃吗
3,医生 ：你好请问经常放屁是不是肠胃有问题？我今年20岁，我就觉得近段时间有点消化不良。请指点一下 ，谢谢！！
3,大夫您好：我消化不好已有三个月，肚子响，大便不成形，每天拉两到三次，间断治疗 ，吃了不少药，效果不好。
3,我儿子现在三岁四个月，体重才二十八金，不大挑食，但是吃得多拉得多，非常瘦弱，急，是不是有消化方面的病，还是别的，他的鼻梁上老是青的，脖子上有两个绿豆大小的淋八结
3,最近不想吃饭，吃的特别少，也不饿，请问有什么好的方法。
4,早晚睡不着，请问早晨跑步对睡眠有帮助吗？
4,我于2015年12月11号煤气中毒昏迷四个小时住院治疗几天好转出院，（我们县医院没有高压氧治疗），出院后大约半个月就整夜失眠，看过中医吃中药，针灸，也到神经内科拿药吃，都没有什么效果，请问我这种失眠是煤气中毒后遗证吗？应该怎么治疗？
4,大夫你好，我曾产后忧郁，治疗后一年没有复发，就因前月一个骚扰电话而又导致失眠难已入睡，白天精神还好，一到下午就会头疼头胀，有时还手脚冰凉，我这是怎么回事
4,我每天都早醒，多梦浅睡，每天早晨四五点刚要沉睡就醒了，好像有什么拉着一样，前几年曾服过舒乐安定一段时间，是否药物作用？八九年了，曾经也服了许多药，但都收效甚微，请问有何方法或药物能让我睡个舒心觉？
4,多年患有失眠症，时轻时重。严重时一宿一宿的睡不着。怎么治疗
4,入睡困难做恶梦易醒 注意力不集中 神情慌惚
4,你好，我晚上总是睡不着觉，就算睡了，脑子也是一直清醒的，非常痛苦，头晕。到医院检查都正常（心电图，验血），就是脑供血不足。 补充问题1：(2010-06-19 20:14:46) 我36岁，男，睡眠不好引起脑供血不足。
4,因为过度紧张造成彻夜不眠，吃安眠药效果都不好如何解决，都8个月了
4,从2006怀孕后期开始，我就有点失眠了，但到后来等小孩出生以后，因为当时由于某种原因我在剖腹产手术台上得知小孩子抢救。后来孩子是平安无事了，我就非常的紧张。生怕会出点什么意外，之后我就经常睡眠不好。
4,入睡困难，一天睡眠不足5小时，时好时坏反反复复一直干扰着我的生活。期间去看过精神内科二次。医生说我患有轻微焦虑症，吃了好几种药都没有能彻底治愈。 
4,请问一下专家，我经常回忆过去的事情，考虑以后的 事情 ，晚上睡觉一点都睡不好，我得了是不是，抑郁症，还是焦虑症呢？谢谢。
4,50岁男，脑力工作，有较大压力，较易入睡，经常会出现多梦易醒，较早醒，醒后难以入睡，浅睡眠，长期性的.
4,失眠症?不知道是不是最近工作压力太大，经常性晚上都会醒来睡不好，11点就上的床，到了3，4点就醒过来再也睡不着了，老公叫我吃点安眠药，可我又怕对身体有影响，不敢吃，请问有失眠症怎么办？
4,失眠情况很严重！胃也不好！有些治疗失眠的药吃了，胃就不舒服~~该怎么办
4,我已失眠十多年，中西药不断，晚上还要吃长效安眠药才能入睡，有时吃了安眠药都还无睡意，只好再加一粒安眠药.长年累月下来安眠药就有了依赖性，而且头痛头晕.周身无力.皮肤搔痒.头发干糙.口干涩糙.昨晚在中央4台播出的陈霞医生治好了一位女士的失眠症，并提供了一个治阴虚的膏方，因说得太快十种药的配方记不全，看陈医生能不能告诉我.因我家在四川省宜宾，南京又无亲朋好友实在不方便.
4,我的父亲今年54岁，睡眠状况多年来一直不好，最近更是加重，去医院治疗，静脉注射了大量镇静催眠类药物，听药后还是不能入睡，现在口服安定已经不管事了。请问该怎么办
4,我失眠一星期了，整夜的睡不着，前天去医院看了，开了点药，百乐眠胶囊和阿普唑仑片，吃了会有依赖性吗？
4,每天晚上都是睡眠不好。一个晚上要醒来好几次，都是做梦醒来的。这样都很长时间了。感觉每天都是没有精神。想问问到底是什么原因所至。谢谢！
4,我已经连续半个月晚上不睡觉了 一点都睡不着 怎么办 应该吃什么药
4,我失眠已经一年多了到现在还没好，期间看了好多医生，都是药一停又无法入睡，头晕脑胀没有一点精神工作，医院诊断为神经衰弱，我现在都没上班了，什么都不去想了，可是还是几乎天天失眠